sample_id,latitude,longitude,sentinel2_b2,sentinel2_b3,sentinel2_b4,sentinel2_b8,sentinel2_b11,sentinel2_b12,ndvi,ndmi,elevation_m,slope_deg,curvature,geology_class,label,grid_tile_id,acquisition_date
S001500,21.385087934507535,80.2472891352344,0.08776553278614996,0.09362593463205056,0.0848974784836685,0.22583868530233275,0.17366586751581234,0.16119643729530003,0.36410302071198475,0.18758513308565852,198.30086682973632,3.5686145232358695,0.6458185067666278,laterite,0,T0714,2026-01-15
S100353,21.34345830842031,80.22204317537539,0.10049513467501545,0.11162397623988506,0.12442750507952456,0.23486859130543175,0.2811256140911432,0.22149221996333796,0.2660437207999916,-0.022150192235263794,332.9058881491422,12.048596967834744,0.5981697426851235,granite_gneiss,1,T0614,2026-01-15
S000973,21.08376167147175,79.85240478013381,0.061931954749098336,0.10116616074929773,0.13125523500486921,0.29500937484654033,0.2584542379666918,0.16054366702261108,0.3179770695854789,0.0758358450149445,298.5394334904935,5.126872531831241,-0.42392003538886397,banded_iron_formation,0,T0107,2026-01-15
S000545,21.52130975461321,79.7240326336694,0.06615160157640418,0.1198420864583021,0.11889895542971654,0.2755842606014189,0.15064715476081697,0.05606909837410157,0.4322183820117686,0.08466042235395334,217.50478181719515,7.41364254829238,-0.09082523087461676,laterite,0,T1004,2026-01-15
S000929,21.022935267169643,79.96731166435401,0.09633474348300648,0.09349745501111303,0.11009014257013829,0.20938032877927096,0.23661626451980394,0.17184468574444953,0.3702161576645487,0.1617410417401184,298.08473248816705,7.464431093988145,-0.09893185186983328,granite_gneiss,0,T0009,2026-01-15
S000913,21.255519934905255,80.27832408016909,0.0817127541531235,0.09906364826279429,0.0927460124892304,0.25350994833598367,0.2753421652260495,0.17428768569062272,0.365157112650922,0.0599209483186916,240.5246919410025,7.512837585705801,0.19066615756226327,gondite,0,T0515,2026-01-15
S000578,21.321786373154975,79.75126153386366,0.0728128836938167,0.10849877371593186,0.1045338997832636,0.19177379527067148,0.235635857274728,0.1923816503231902,0.33420624658682935,0.20269049134026948,312.2084577557351,6.50057771722844,0.7707900620708231,laterite,0,T0605,2026-01-15
S001371,21.283222573518685,79.53535265532919,0.06026134993372746,0.09965227227386583,0.0937424904951621,0.2159607839186958,0.21012699046228564,0.16863248269306572,0.3280774189739425,0.169108127088698,216.3901076924197,5.225802719395773,1.0873858709083422,granite_gneiss,0,T0500,2026-01-15
S100065,21.332147640394798,80.14118544868754,0.07030020551476553,0.12162900939257065,0.13453745727392846,0.2613376574297855,0.29201472701289466,0.23279342248594825,0.338991863174869,0.05766397516129613,364.8363230686073,11.904393445785338,-0.8395552138118586,gondite,1,T0612,2026-01-15
S000963,21.437544587305904,79.62162872615566,0.08480480283991244,0.08857149652117194,0.11860230947555434,0.2221275369511213,0.22609887529795447,0.11834973257093419,0.31076899121891893,0.12588729760476286,378.2839312295292,3.795634712649238,0.7541803841423667,granite_gneiss,0,T0802,2026-01-15
S100056,21.275349465323004,79.61441750013331,0.05186998745975535,0.07815635345826084,0.10744845517577942,0.23977441179808817,0.3448713660393835,0.2053044337423255,0.2691279341690099,-0.0007227736062407134,366.1541724822277,9.93772446592839,0.2038641848090194,banded_iron_formation,1,T0502,2026-01-15
S000932,21.484910886022757,79.58910808548565,0.06438911259217404,0.1046243721726465,0.0898327624931293,0.2820586570165814,0.175597549513896,0.1210613996794647,0.35289615765301025,0.191993030378803,239.5418863544034,8.141165810967525,0.24769730751727068,laterite,0,T0901,2026-01-15
S000758,21.295499909206857,79.65146264513811,0.06044671881456472,0.06247789751127889,0.1043557316717337,0.22798722804064975,0.23087805988537635,0.2157185471631547,0.29228082822045803,0.10595493266490918,307.4601386770212,3.580288109656329,0.010349095131212823,laterite,0,T0503,2026-01-15
S000224,21.547929635105163,79.60235363802539,0.07193526925664395,0.10773035870864907,0.13327063973767417,0.2639588343815227,0.19753529498396158,0.20905833783886815,0.29370785313347264,0.160289958592381,274.1919241113914,0.3905192959807646,0.876062055332205,laterite,0,T1002,2026-01-15
S000014,21.372888334521086,79.80453034216131,0.06341366211686277,0.09095916207273451,0.09545142699405411,0.26570370555859907,0.24109085393720378,0.2567797937244377,0.3399921023334574,0.006774612036899441,225.42622742513691,0.907903874029949,0.32627735120676726,banded_iron_formation,0,T0706,2026-01-15
S100275,21.236178274099217,79.58742583289164,0.0866709802327241,0.09002124900076108,0.09234523659402746,0.21763602931220366,0.3257659334860793,0.20987570790620153,0.15915929215429084,-0.05504685819472872,375.3583833672712,7.215722486164665,-0.3472326209626765,gondite,1,T0401,2026-01-15
S000386,21.280851228873356,80.29940792136436,0.060675457301464196,0.08320605005141204,0.08366530151498434,0.2665920349458398,0.20078796724412903,0.11857838198186106,0.2783776184087301,0.1299912203310358,244.32586338101365,0.0,0.35331399191876695,laterite,0,T0515,2026-01-15
S100128,21.062041780633532,79.95796634649768,0.06831941333555985,0.09205033330141138,0.0935542720819963,0.22833598794264315,0.2699188511015376,0.23961843462768823,0.14017184134047794,-0.0315379667522728,190.63861744700114,0.0,-0.19611300646014154,gondite,1,T0109,2026-01-15
S001286,21.260402805990537,80.22709924521898,0.07931155777908032,0.09893442910460315,0.14254488646005403,0.26554823632643204,0.23009891359852078,0.17863746430611685,0.47099867573315224,0.12444619599941678,169.04521118257736,8.826471907013822,0.7115346626453569,granite_gneiss,0,T0514,2026-01-15
S001492,21.146932169088245,80.10759087757482,0.08464085209486481,0.08767004427484923,0.09209647357041462,0.240735296577126,0.22206533960245706,0.15061514027716283,0.3871897044677367,-0.06124533179509237,228.15472156130903,3.3182142503701697,0.36526071564438195,granite_gneiss,0,T0212,2026-01-15
S000314,21.07749851766144,80.14723703074439,0.05882915611933219,0.10371652406500961,0.12117083816927499,0.289097122494433,0.25885139434839055,0.20639661793673086,0.404635743451066,0.19431968787279907,302.58730955261126,5.7735819374465835,1.044525791639413,granite_gneiss,0,T0112,2026-01-15
S001304,21.246691882739764,79.83944349382605,0.09234574644992137,0.07297545636220983,0.09392415428386586,0.2695222606220995,0.3199128389253423,0.12163033567610174,0.2368374145644776,0.07021559202385244,288.1895196403435,8.553874223632306,-0.022170809266646066,granite_gneiss,0,T0406,2026-01-15
S001621,21.315519138577507,79.96618476534478,0.09811551817443837,0.05989844727576331,0.071023404545711,0.2955958286593686,0.19355597039390995,0.1447320508297934,0.34648154161832395,0.10864681703478252,360.96530181111734,2.349263912189751,-0.5898404073814659,banded_iron_formation,0,T0609,2026-01-15
S000723,21.47120253089265,79.51732230002563,0.12303517950360071,0.1029779095621219,0.11335580359746991,0.2516930207822429,0.1322215981492692,0.1474956888076293,0.2787756547290162,0.11183239719327084,211.81817461207078,6.70165993844757,-0.19331586718200983,granite_gneiss,0,T0900,2026-01-15
S001562,21.334771789613225,80.14108617001294,0.06720570185625856,0.09733515366014082,0.10931852976566299,0.2654699926365884,0.25344136695709163,0.1511597052360264,0.17382196407410674,0.12004571914633982,272.87426650795544,2.300609479353674,-0.3875603618068906,banded_iron_formation,0,T0612,2026-01-15
S100099,21.57713859872971,80.00912667368623,0.0773579757437375,0.16177024389720568,0.11662314829594067,0.21450439911990185,0.3288909658871201,0.21436002695449602,0.2211622305550055,0.0351786338218924,337.39312855510406,4.601366616622634,0.2301093197175317,gondite,1,T1110,2026-01-15
S000819,21.158514997941182,79.80191341712398,0.07467491701007747,0.10016613985402607,0.09929134770545629,0.22580325601032608,0.15818650862863595,0.18600830355675624,0.3314337539713298,0.021474292512690146,283.2975069803476,3.014832408464878,-0.24642833185194318,granite_gneiss,0,T0306,2026-01-15
S000604,21.16530650367291,79.73857263149635,0.10836930916619503,0.13989539018260622,0.09769985692594538,0.2511862416283343,0.17647172333788766,0.15076362424321446,0.323886991190649,0.13723710912024142,276.6317112754195,3.595497048699733,-0.015125294238937409,laterite,0,T0304,2026-01-15
S000432,21.402218702297407,80.06383755062792,0.07693361882553346,0.12011902581148365,0.08629336352178255,0.18080385593443415,0.21821249973975862,0.17196333233095074,0.1622261017329466,0.225986628815053,138.1070914341327,2.8529676005714615,0.5777631455247545,banded_iron_formation,0,T0811,2026-01-15
S100029,21.409829371945474,80.18042694335263,0.08233960468047774,0.09030538476902013,0.1124681055395303,0.2510384845373402,0.298852868493008,0.2282641783290335,0.14696976106249382,0.06658640280821648,208.8702886759279,9.897189228726377,0.061870007205695084,laterite,1,T0813,2026-01-15
S000268,21.26024098421249,79.63288097018967,0.06291892461675867,0.09315063781966874,0.08124131301578477,0.2367049343267135,0.1660442670488559,0.11992968563081935,0.33245600317994467,0.12164991919220965,177.7334130164403,8.845432649253311,-0.15519505180312418,banded_iron_formation,0,T0502,2026-01-15
S000584,21.463360441924475,79.52948331089348,0.06742362260129216,0.1313404601601316,0.07920011292109948,0.15949547025097788,0.26739300025992074,0.20363567683001363,0.3802801060228292,0.23721259275895962,237.2811545089191,5.2746181778492325,0.27658257379795287,alluvium,0,T0900,2026-01-15
S000212,21.497657136097924,80.12882905411668,0.09639174918745429,0.1400761179101836,0.11805696872838843,0.27054029213950476,0.2693595615638407,0.17719891908146454,0.30685940147033436,0.12067164476781765,293.9286273186152,0.15559763896027246,-0.48159394377000003,banded_iron_formation,0,T0912,2026-01-15
S000547,21.32948434613135,79.99440728830594,0.10712324767772065,0.12516943128028082,0.12365332876139598,0.29210518958546267,0.14852594929288565,0.10268828036271631,0.19844430816662884,0.12831487053409746,239.1146616471253,2.414245755641131,-0.010414700577924544,alluvium,0,T0609,2026-01-15
